Campaign Name,Reach,Impressions,Frequency,Results,Cost per Result,Amount Spent,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),15-Second Video Views,Clicks to Play Video,CTR (All),Day
[ FRIO ] [L. G ] 02- [ Post Fixo ],1317,1363,"1,03",192,"0,0601","11,53","8,46",4,"2,88","0,29",,,"0,37",2021-07-01
[ FRIO ] [ L. G ] 02- [ Video View ],4317,4407,"1,02",1063,"0,0083","8,8",2,,,,811,,"0,07",2021-07-01
[ FRIO ] [L. G ] 02- [ Post Fixo ],1623,1683,"1,04",165,"0,0697","11,5","6,83",4,"2,88","0,24",,,"0,48",2021-07-02
[ FRIO ] [ L. G ] 02- [ Video View ],5572,5841,"1,05",1288,"0,0082","10,61","1,82",,,,923,,"0,03",2021-07-02
[ FRIO ] [L. G ] 02- [ Post Fixo ],477,487,"1,02",60,"0,0653","3,92","8,05",1,"3,92","0,21",,,"1,03",2021-07-03
[ FRIO ] [ L. G ] 02- [ Video View ],2154,2175,"1,01",416,"0,0088","3,64","1,67",,,,320,,"0,05",2021-07-03
[ FRIO ] [L. G ] 02- [ Post Fixo ],1072,1095,"1,02",146,"0,0794","11,59","10,58",3,"3,86","0,27",,,"0,73",2021-07-08
[ FRIO ] [ L. G ] 02- [ Video View ],8930,9441,"1,06",1571,"0,0081","12,67","1,34",,,,1063,,"0,05",2021-07-08
[ FRIO ] [L. G ] 02- [ Post Fixo ],177,181,"1,02",26,"0,0746","1,94","10,72",,,,,,0,2021-07-09
[ FRIO ] [ L. G ] 02- [ Video View ],880,888,"1,01",250,"0,0078","1,96","2,21",,,,208,,0,2021-07-09
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],767,779,"1,02",558,"0,0227","12,65","16,24",34,"0,37","4,36",300,,"4,36",2021-07-10
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],761,772,"1,01",516,"0,0178","9,19","11,9",17,"0,54","2,2",311,,"2,2",2021-07-11
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],1181,1221,"1,03",796,"0,0159","12,63","10,34",40,"0,32","3,28",432,,"3,36",2021-07-16
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],1302,1343,"1,03",853,"0,0148","12,65","9,42",42,"0,3","3,13",464,,"3,05",2021-07-17
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],1429,1483,"1,04",985,"0,0112",11,"7,42",56,"0,2","3,78",505,,"3,91",2021-07-18
[ FRIO ] [ L. G ] 02- [ Video View ],8451,8551,"1,01",1092,"0,0068","7,44","0,87",,,,693,,"0,05",2021-07-19
[ MORNO ] [L.G.] 02- [Video View ] [ Clique ],829,843,"1,02",568,"0,0111","6,28","7,45",26,"0,24","3,08",315,,"3,2",2021-07-19
[MORNO] Video View ABO,329,369,"1,12",284,"0,0129","3,66","9,92",,,,270,,"0,54",2021-07-23
[MORNO] Video View ABO,1567,1939,"1,24",1907,"0,0057","10,96","5,65",,,,1890,,0,2021-07-24
[MORNO][Engajamento] VV +900,865,890,"1,03",163,"0,0245",4,"4,49",,,,20,,"0,79",2021-07-24
[MORNO] Video View ABO,1348,1811,"1,34",1784,"0,0061","10,91","6,02",,,,1752,,0,2021-07-25
[MORNO][Engajamento] VV +900,2288,2732,"1,19",735,"0,0148","10,9","3,99",2,"5,45","0,07",100,,"1,9",2021-07-25
[MORNO] Video View ABO,539,765,"1,42",752,"0,006","4,5","5,88",,,,743,,0,2021-07-26
[MORNO][Engajamento] VV +900,1256,1380,"1,1",376,"0,0135","5,07","3,67",3,"1,69","0,22",62,,"2,32",2021-07-26
[MORNO] Video View ABO,611,814,"1,33",802,"0,0067","5,4","6,63",,,,783,,0,2021-07-28
[MORNO][Engajamento] VV +900,1082,1192,"1,1",446,"0,0137","6,09","5,11",1,"6,09","0,08",66,,"2,85",2021-07-28