Relatório de campanha Google Ads ,,,,,,,,,,,,,,,,,,,,,,,,,,
15 de Fevereiro de 2022 - 23 de Fevereiro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
Status da campanha,Campanha,Nome do orçamento,Código da moeda,Orçamento,Tipo de orçamento,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.,Cliques,CTR,CPC médio,% de impr. (1ª posição),% de impr. (parte sup.),Impr. visíveis,Código da moeda,Orçamento recomendado,Tipo de estratégia de lances
Pausada,[ Galpão ][ SP IN][ 2] BuildSteel,--,BRL,30,Diário,Pausado,campanha pausada; desconhecido,--,Pesquisa,0,0,--,--,0,0,0,0%,0,--,--,--,--,0,BRL,--,CPC (otimizado)
Pausada,[ SER][EM] LIGAÇÃO SP IN - I ],--,BRL,20,Diário,Pausado,campanha pausada; desconhecido,--,Pesquisa,0,0,--,--,0,0,0,0%,0,--,--,--,--,0,BRL,--,CPC (otimizado)
Pausada,[ SER ] [ EM ] SP IN- I Maior Desempenho,--,BRL,20,Diário,Pausado,campanha pausada,--,Maior desempenho,1772,68,"3,84%","0,6","40,78",0,0,0%,42,"2,37%","0,97",--,--,0,BRL,--,Maximizar as conversões
Ativada,[ SER ] [ EM ] MG - I,--,BRL,20,Diário,Qualificado (limitado),limitado pelo orçamento; desconhecido,"87,5",Pesquisa,1083,62,"5,72%","2,69","166,87",0,0,0%,62,"5,72%","2,69","59,33%","89,18%",0,BRL,94,CPC (otimizado)
Ativada,[SER] [GALPAO] [ SP-IN]-1,--,BRL,30,Diário,Qualificado (limitado),limitado pelo orçamento; desconhecido,"87,75",Pesquisa,2719,159,"5,85%","2,73","434,64",0,0,0%,159,"5,85%","2,73","44,04%","87,5%",0,BRL,120,CPC (otimizado)
Ativada,[SER][ GALPAO][ MG-IN]-1,--,BRL,20,Diário,Qualificado,desconhecido,"99,5",Pesquisa,318,14,"4,4%","2,67","37,43",0,0,0%,14,"4,4%","2,67","63,3%","92,66%",0,BRL,--,CPC (otimizado)
Pausada,[ Galpão Metálico] [ SP Capital ],--,BRL,30,Diário,Pausado,campanha pausada; desconhecido,--,Pesquisa,0,0,--,--,0,0,0,0%,0,--,--,--,--,0,BRL,--,CPC (otimizado)
Ativada,[SER] [EM] SP INT I,--,BRL,30,Diário,Qualificado (limitado),limitado pelo orçamento; desconhecido,"86,24",Pesquisa,2183,136,"6,23%","2,7","367,66",0,0,0%,136,"6,23%","2,7","52,25%","87,53%",0,BRL,120,CPC (otimizado)
Total: Campanhas,,,BRL,,,,,,,8075,439,"5,44%","2,39","1047,38",0,0,0%,413,"5,11%","2,54","50,27%",88%,0,,,
Total: Conta,,,BRL,,,,,,,8075,439,"5,44%","2,39","1047,38",0,0,0%,413,"5,11%","2,54","50,27%",88%,0,,,
Total: Pesquisa,,,BRL,,,,,,Pesquisa,6303,371,"5,89%","2,71","1006,6",0,0,0%,371,"5,89%","2,71","50,27%",88%,0,,,
Total: Maior desempenho,,,BRL,,,,,,Maior desempenho,1772,68,"3,84%","0,6","40,78",0,0,0%,42,"2,37%","0,97",--,--,0,,,